Cgens,Ugens
449.0,0.0614
600.0,0.0899
339.0,0.0874
450.0,0.07
454.0,0.07
209.0,0.0899
800.0,0.07
120.0,0.0874
332.0,0.0899
249.0,0.0874
800.0,0.07
419.0,0.0696
630.0,0.0899
780.0,0.0874
450.0,0.07
220.0,0.0874
520.0,0.0899
600.0,0.07
403.0,0.0899
335.0,0.0696
600.0,0.07
640.0,0.08
265.0,0.0874
638.0,0.08
800.0,0.07
224.0,0.0899
130.0,0.07
645.0,0.0899
800.0,0.07
415.0,0.0696
335.0,0.0696
361.0,0.0899
780.0,0.0874
520.0,0.0899
430.0,0.07
650.0,0.07
400.0,0.0874
695.0,0.0899
400.0,0.0874
600.0,0.07
335.0,0.0696
602.0,0.0899
332.0,0.0899
101.0,0.0899
459.0,0.0899
350.0,0.0696
115.0,0.08
121.0,0.0632
335.0,0.0696
350.0,0.07
599.0,0.0874
253.0,0.0899
231.0,0.0874
335.0,0.0696
500.0,0.089
240.0,0.0874
249.0,0.0874
