MVL380_gen,MVL380_exp,SMH380_gen,MVL380_wind,BWK380_load,CST380_load,KIJ380_load,MVL380_load,WL380W_load,WL380Z_load,WTR380_load,SMH380_load
-1122.9,1000.0,0.0,-542.6000000000001,167.39999999999998,365.4,-194.70000000000002,230.8,87.4,44.7,195.29999999999998,121.1
-1122.9,1000.0,0.0,-424.30000000000007,169.5,369.6,-190.8,233.6,88.4,45.3,197.39999999999998,122.5
-1122.9,1000.0,0.0,-405.9,159.0,346.79999999999995,-210.0,219.2,83.0,42.5,185.39999999999998,114.9
-1122.9,1000.0,0.0,-391.89999999999986,144.60000000000002,315.29999999999995,-236.10000000000002,199.2,75.4,38.6,168.60000000000002,104.5
-1122.9,1000.0,0.0,-369.9999999999999,136.2,297.0,-251.39999999999998,187.6,71.0,36.4,158.7,98.4
-1122.9,1000.0,0.0,-309.1000000000002,137.39999999999998,300.0,-248.70000000000002,189.6,71.8,36.7,160.2,99.4
-1122.9,1000.0,0.0,-277.9,143.39999999999998,312.9,-237.89999999999998,197.8,74.8,38.3,167.39999999999998,103.7
-1122.9,1000.0,0.0,-229.99999999999994,153.3,334.20000000000005,-220.20000000000002,211.2,80.0,40.9,178.5,110.8
-1122.9,344.9,0.0,-168.00000000000006,164.39999999999998,358.5,-200.10000000000002,226.6,85.8,43.9,191.7,118.8
-1122.9,-285.1,0.0,-133.39999999999998,175.8,383.70000000000005,-179.39999999999998,242.4,91.8,47.0,204.89999999999998,127.1
-1122.9,-1000.0,0.0,-91.80000000000007,195.89999999999998,427.20000000000005,-143.10000000000002,269.8,102.2,52.3,228.29999999999998,141.5
-1122.9,-500.0,0.0,-60.299999999999955,195.60000000000002,426.59999999999997,-450.90000000000003,269.4,102.0,52.2,228.0,141.3
-1122.9,-1000.0,0.0,-34.0,204.89999999999998,447.29999999999995,-433.5,282.6,107.0,54.8,238.79999999999998,148.2
-1122.9,-1000.0,0.0,-12.699999999999932,207.0,451.79999999999995,-429.90000000000003,285.4,108.0,55.3,241.20000000000002,149.7
-1122.9,-500.0,0.0,-2.900000000000091,203.70000000000002,444.29999999999995,-435.90000000000003,280.8,106.2,54.4,237.29999999999998,147.2
-1122.9,-250.0,0.0,-0.0,200.70000000000002,437.70000000000005,-441.59999999999997,276.4,104.6,53.6,233.70000000000002,145.0
-1122.9,-340.5,0.0,-0.0,207.60000000000002,453.0,-428.70000000000005,286.2,108.4,55.5,242.10000000000002,150.2
-2141.4,574.2,0.0,0.09999999999990905,251.39999999999998,548.0999999999999,-349.79999999999995,346.4,131.2,67.1,292.79999999999995,181.7
-2141.4,1000.0,0.0,0.29999999999984084,266.1,580.5,-323.1,366.6,138.8,71.1,310.20000000000005,192.3
-2141.4,1000.0,0.0,-3.8000000000003524,267.6,584.0999999999999,-319.79999999999995,369.0,139.6,71.5,312.0,193.5
-2141.4,1000.0,0.0,-9.800000000000068,259.5,565.8,-335.1,357.6,135.4,69.3,302.4,187.5
-1122.9,1000.0,0.0,-15.099999999999994,246.0,537.0,-359.1,339.2,128.4,65.8,286.79999999999995,177.9
-1122.9,1000.0,0.0,-23.199999999999868,228.60000000000002,498.29999999999995,-390.90000000000003,315.0,119.2,61.0,266.4,165.2
-1122.9,0.0,0.0,-45.30000000000001,204.29999999999998,445.79999999999995,-434.70000000000005,281.8,106.6,54.6,238.20000000000002,147.8
-1122.9,978.8,0.0,-66.19999999999999,198.29999999999998,432.29999999999995,-446.09999999999997,273.2,103.4,52.9,231.0,143.3
-1122.9,1000.0,0.0,-73.10000000000008,184.8,402.90000000000003,-163.2,254.6,96.4,49.4,215.39999999999998,133.6
-1122.9,1000.0,0.0,-79.9,177.60000000000002,387.90000000000003,-175.8,245.0,92.8,47.5,207.29999999999998,128.5
-1122.9,1000.0,0.0,-87.29999999999993,174.0,379.20000000000005,-183.0,239.6,90.8,46.5,202.79999999999998,125.7
-1122.9,1000.0,0.0,-92.10000000000008,170.39999999999998,371.70000000000005,-189.0,235.0,89.0,45.5,198.60000000000002,123.2
-1122.9,0.0,0.0,-94.89999999999998,177.3,387.0,-398.40000000000003,244.4,92.6,47.4,206.70000000000002,128.2
-1122.9,-1000.0,0.0,-116.5,197.39999999999998,430.5,-447.29999999999995,272.0,103.0,52.7,230.10000000000002,142.7
-1818.6999999999998,-1000.0,0.0,-111.5,242.10000000000002,528.0,-366.6,333.6,126.2,64.7,282.0,175.0
-2179.7000000000003,-1000.0,-40.6,-94.89999999999982,289.20000000000005,630.5999999999999,-281.1,398.6,150.8,77.2,336.9,209.0
-2256.4,1000.0,-121.9,-68.9000000000002,314.4,685.5,-235.5,433.2,164.0,84.0,366.29999999999995,227.2
-2256.4,1000.0,-121.9,-59.20000000000027,328.20000000000005,716.0999999999999,-210.29999999999998,452.6,171.2,87.7,382.79999999999995,237.3
-2294.8,1000.0,-162.6,-54.99999999999997,336.6,734.0999999999999,-195.29999999999998,463.8,175.6,89.9,392.40000000000003,243.3
-2333.1,1000.0,-203.2,-45.90000000000026,332.70000000000005,726.0,-202.20000000000002,458.6,173.6,88.9,387.90000000000003,240.6
-2089.8999999999996,1000.0,-203.2,-42.10000000000031,334.20000000000005,729.0,-199.5,460.6,174.4,89.3,389.70000000000005,241.6
-1353.0,1000.0,-243.9,-39.19999999999996,331.20000000000005,722.4000000000001,-204.89999999999998,456.4,172.8,88.5,386.09999999999997,239.4
-1353.0,1000.0,-243.9,-31.60000000000005,330.6,720.9000000000001,-206.10000000000002,455.6,172.4,88.3,385.20000000000005,238.9
-2141.3999999999996,1000.0,-243.9,-23.100000000000165,336.29999999999995,733.8,-195.60000000000002,463.6,175.6,89.9,392.09999999999997,243.2
-2371.5,1000.0,-243.9,-19.90000000000012,358.5,782.0999999999999,-155.39999999999998,494.2,187.0,95.8,417.90000000000003,259.2
-2333.1,1000.0,-203.2,-18.40000000000032,345.9,754.8,-178.2,477.0,180.6,92.4,403.5,250.2
-2333.1,1000.0,-203.2,-12.100000000000193,336.29999999999995,733.5,-195.89999999999998,463.4,175.4,89.8,391.79999999999995,243.1
