BKL380_KIJ380,VHZ380_BWK380a,VHZ380_BWK380b,KIJ380_OZN380,KIJ380_GT380a,KIJ380_GT380b
210.7,305.4,305.4,-200.1,334.5,334.5
188.1,247.4,247.4,-163.4,178.7,178.7
187.3,243.2,243.2,-162.4,211.6,211.6
183.5,241.0,241.0,-162.1,265.4,265.4
196.3,240.6,240.6,-166.5,300.6,300.6
155.0,197.7,197.7,-132.5,183.3,183.3
148.1,180.2,180.2,-120.8,114.0,114.0
111.7,141.9,141.9,-89.5,-26.0,-26.0
0.9,42.4,42.4,-25.0,33.2,33.2
-73.8,-29.5,-29.5,15.9,149.5,149.5
-149.8,-110.6,-110.6,60.4,254.9,254.9
-124.5,-94.9,-94.9,60.0,170.8,170.8
-268.4,-188.5,-188.5,135.2,161.6,161.6
-265.9,-196.6,-196.6,138.9,133.0,133.0
-184.0,-146.6,-146.6,104.6,1.4,1.4
-103.1,-102.9,-102.9,66.3,-7.8,-7.8
-171.1,-137.9,-137.9,101.8,-81.3,-81.3
11.8,-77.1,-77.1,21.4,-33.7,-33.7
13.7,-66.6,-66.6,30.0,-305.9,-305.9
-9.3,-75.6,-75.6,41.4,-337.7,-337.7
-23.4,-76.5,-76.5,44.7,-306.8,-306.8
7.7,-21.1,-21.1,36.1,-678.2,-678.2
125.0,39.1,39.1,-30.3,-442.6,-442.6
-95.2,-74.0,-74.0,57.1,-90.0,-90.0
174.1,131.6,131.6,-103.4,-120.3,-120.3
239.4,168.1,168.1,-141.7,-130.3,-130.3
193.8,153.4,153.4,-122.2,-142.7,-142.7
203.2,161.8,161.8,-129.7,-104.6,-104.6
154.4,143.7,143.7,-107.0,-140.6,-140.6
-160.0,-28.4,-28.4,41.4,35.7,35.7
-329.1,-134.6,-134.6,116.6,270.2,270.2
-423.2,-216.6,-216.6,170.4,258.3,258.3
-449.5,-259.3,-259.3,191.1,172.0,172.0
59.0,16.7,16.7,-42.0,-228.5,-228.5
186.8,63.4,63.4,-100.3,-156.8,-156.8
58.0,5.8,5.8,-38.4,-309.5,-309.5
95.4,22.3,22.3,-63.1,-209.8,-209.8
45.5,7.1,7.1,-33.7,-394.9,-394.9
189.9,99.0,99.0,-104.3,-531.2,-531.2
194.1,97.9,97.9,-105.0,-530.8,-530.8
-22.6,-28.5,-28.5,-1.4,-453.9,-453.9
27.6,-23.7,-23.7,-22.1,-400.3,-400.3
46.3,-14.6,-14.6,-28.5,-362.3,-362.3
29.5,-21.1,-21.1,-21.6,-339.6,-339.6
7.3,-28.1,-28.1,-13.6,-300.5,-300.5
-54.0,-49.6,-49.6,12.9,-294.8,-294.8
171.8,42.8,42.8,-76.1,-126.1,-126.1
95.9,15.5,15.5,-42.3,-146.9,-146.9
50.0,13.2,13.2,-22.8,-145.8,-145.8
-110.3,-53.3,-53.3,49.0,-143.2,-143.2
-90.4,-38.4,-38.4,35.4,-81.2,-81.2
-130.0,-55.5,-55.5,54.3,-107.1,-107.1
-260.7,-140.6,-140.6,107.0,188.1,188.1
-238.8,-127.2,-127.2,92.8,235.4,235.4
-295.9,-174.5,-174.5,115.2,405.3,405.3
-297.8,-182.5,-182.5,115.8,393.3,393.3
-108.7,-63.0,-63.0,26.0,51.0,51.0
156.4,93.0,93.0,-107.8,-76.2,-76.2
108.6,75.2,75.2,-84.8,-134.6,-134.6
136.1,86.0,86.0,-97.8,-116.0,-116.0
61.9,73.6,73.6,-80.8,-123.7,-123.7
143.4,78.5,78.5,-109.6,-45.0,-45.0
93.8,39.2,39.2,-76.7,-118.4,-118.4
84.5,31.6,31.6,-70.3,-133.5,-133.5
53.7,5.8,5.8,-43.9,-233.6,-233.6
96.4,12.6,12.6,-57.8,-266.2,-266.2
48.0,-3.5,-3.5,-37.4,-246.3,-246.3
9.2,-21.6,-21.6,-19.5,-234.8,-234.8
131.0,23.3,23.3,-58.4,-194.7,-194.7
109.3,19.3,19.3,-52.7,-128.8,-128.8
150.4,45.0,45.0,-78.8,78.6,78.6
70.2,34.4,34.4,-43.2,-141.9,-141.9
100.4,64.2,64.2,-53.8,-110.4,-110.4
165.8,129.0,129.0,-97.1,-59.6,-59.6
-166.7,-26.3,-26.3,47.0,-79.4,-79.4
-212.5,-16.5,-16.5,47.9,86.7,86.7
-365.1,-74.3,-74.3,102.7,269.8,269.8
-313.6,-40.0,-40.0,64.4,461.7,461.7
-554.8,-115.7,-115.7,173.0,351.8,351.8
-492.1,-134.0,-134.0,153.0,452.4,452.4
-635.3,-237.9,-237.9,240.6,210.4,210.4
-319.4,-125.3,-125.3,87.9,468.7,468.7
-177.3,-37.0,-37.0,30.8,166.5,166.5
-114.8,22.7,22.7,-2.6,43.3,43.3
-86.4,66.8,66.8,-19.0,-101.1,-101.1
-86.1,118.4,118.4,-72.7,250.5,250.5
-129.2,138.8,138.8,-72.6,347.9,347.9
-50.0,229.5,229.5,-111.6,22.4,22.4
4.3,266.3,266.3,-145.9,117.4,117.4
26.3,258.6,258.6,-145.5,18.7,18.7
25.7,262.2,262.2,-148.9,81.7,81.7
-54.7,222.9,222.9,-107.1,13.6,13.6
-156.1,173.2,173.2,-54.7,-63.5,-63.5
-274.0,147.1,147.1,-10.2,-71.0,-71.0
-486.3,62.1,62.1,63.6,304.8,304.8
-237.4,196.3,196.3,-37.4,224.4,224.4
-311.9,214.4,214.4,-29.4,393.7,393.7
-366.1,221.2,221.2,-22.9,554.9,554.9
-234.2,310.7,310.7,-93.6,590.6,590.6
-132.0,366.7,366.7,-146.8,680.8,680.8
-127.9,371.2,371.2,-150.0,694.9,694.9
-215.6,312.8,312.8,-106.4,724.5,724.5
-373.4,213.6,213.6,-23.1,633.0,633.0
-491.8,141.4,141.4,46.1,550.9,550.9
-550.6,64.6,64.6,85.9,565.0,565.0
-216.0,232.9,232.9,-62.6,373.0,373.0
-226.9,226.9,226.9,-57.0,361.1,361.1
-281.4,165.2,165.2,-28.7,538.4,538.4
-183.3,183.3,183.3,-57.5,429.1,429.1
-73.5,239.1,239.1,-103.7,333.6,333.6
-129.7,229.9,229.9,-84.2,340.1,340.1
-220.4,164.5,164.5,-51.2,669.7,669.7
-311.2,78.2,78.2,-1.2,808.7,808.7
-88.1,135.2,135.2,-89.2,850.8,850.8
254.6,340.0,340.0,-248.3,614.3,614.3
245.8,315.2,315.2,-233.9,581.6,581.6
289.8,311.4,311.4,-227.6,277.1,277.1
380.1,394.7,394.7,-286.3,353.4,353.4
227.6,333.1,333.1,-223.6,421.9,421.9
113.7,277.5,277.5,-167.3,363.0,363.0
374.9,418.9,418.9,-307.0,385.7,385.7
320.7,391.8,391.8,-279.2,371.3,371.3
263.6,364.5,364.5,-250.3,338.7,338.7
167.4,315.8,315.8,-201.0,274.5,274.5
114.0,255.7,255.7,-165.8,322.8,322.8
60.7,193.3,193.3,-125.4,278.7,278.7
3.0,129.1,129.1,-83.3,223.9,223.9
39.4,120.9,120.9,-86.2,107.0,107.0
-151.7,-33.3,-33.3,19.6,341.5,341.5
27.5,25.8,25.8,-49.0,221.8,221.8
282.2,163.0,163.0,-168.7,136.3,136.3
225.1,148.0,148.0,-144.6,86.6,86.6
200.9,144.9,144.9,-136.4,82.9,82.9
158.6,140.1,140.1,-120.6,47.1,47.1
133.7,144.4,144.4,-116.6,77.7,77.7
93.8,164.6,164.6,-110.9,46.9,46.9
4.2,136.7,136.7,-77.7,71.7,71.7
51.2,186.6,186.6,-110.4,52.8,52.8
101.0,262.2,262.2,-156.4,134.2,134.2
82.1,251.6,251.6,-157.8,352.4,352.4
76.5,250.8,250.8,-159.5,440.2,440.2
154.3,286.4,286.4,-171.4,36.2,36.2
196.2,287.7,287.7,-185.4,92.8,92.8
-22.5,167.1,167.1,-83.0,171.7,171.7
269.5,342.0,342.0,-233.5,236.7,236.7
172.4,312.4,312.4,-193.5,239.4,239.4
129.5,302.4,302.4,-178.2,269.5,269.5
145.1,326.3,326.3,-196.3,376.7,376.7
134.3,329.5,329.5,-195.7,409.0,409.0
48.1,279.7,279.7,-151.1,375.3,375.3
-83.8,176.0,176.0,-84.2,538.7,538.7
-178.7,85.5,85.5,-24.8,547.2,547.2
-224.0,52.0,52.0,4.1,458.8,458.8
-68.3,136.7,136.7,-59.3,211.3,211.3
-151.6,89.8,89.8,-12.6,78.3,78.3
-289.3,28.4,28.4,56.3,96.7,96.7
-303.4,-3.3,-3.3,65.4,209.9,209.9
-66.9,97.0,97.0,-27.2,-8.4,-8.4
15.4,131.1,131.1,-56.3,-133.8,-133.8
-97.6,77.0,77.0,-7.4,-92.1,-92.1
-327.4,21.6,21.6,46.1,37.8,37.8
-120.8,123.4,123.4,-73.3,424.1,424.1
-132.4,138.0,138.0,-77.2,442.6,442.6
-114.2,174.7,174.7,-95.5,440.5,440.5
-136.3,174.5,174.5,-84.5,371.5,371.5
-154.1,154.6,154.6,-74.2,442.3,442.3
-128.5,150.1,150.1,-47.5,0.2,0.2
-60.6,141.9,141.9,-71.4,205.2,205.2
-125.3,133.5,133.5,-34.7,15.5,15.5
-180.2,81.1,81.1,-6.2,163.5,163.5
-59.6,139.6,139.6,-57.5,90.8,90.8
-41.3,161.3,161.3,-67.2,28.0,28.0
-202.0,87.5,87.5,-2.5,177.3,177.3
-324.2,31.8,31.8,43.3,335.3,335.3
-601.9,-80.7,-80.7,178.7,154.7,154.7
-386.0,6.2,6.2,72.7,299.6,299.6
-307.5,46.0,46.0,35.3,229.1,229.1
-15.4,177.0,177.0,-106.2,400.7,400.7
149.4,258.2,258.2,-168.4,53.6,53.6
155.9,250.1,250.1,-162.4,-162.5,-162.5
183.6,274.4,274.4,-173.4,-255.2,-255.2
163.6,270.8,270.8,-166.2,-256.7,-256.7
211.1,281.9,281.9,-185.4,-219.5,-219.5
270.4,286.9,286.9,-189.0,-323.8,-323.8
277.0,284.6,284.6,-189.6,-332.3,-332.3
216.5,268.7,268.7,-153.7,-607.7,-607.7
167.3,276.3,276.3,-146.8,-497.4,-497.4
130.9,252.5,252.5,-126.0,-505.8,-505.8
125.1,236.0,236.0,-126.4,-317.7,-317.7
162.1,250.3,250.3,-147.1,-182.8,-182.8
214.7,278.1,278.1,-178.7,-19.8,-19.8
187.5,282.8,282.8,-177.4,103.7,103.7
-41.2,167.8,167.8,-73.1,285.5,285.5
-345.2,21.6,21.6,88.9,-98.3,-98.3
-355.6,-16.8,-16.8,105.7,-96.5,-96.5
-334.0,-29.7,-29.7,97.8,-115.3,-115.3
-528.0,-141.7,-141.7,186.8,200.7,200.7
-566.2,-164.2,-164.2,210.6,96.2,96.2
-465.5,-142.4,-142.4,172.2,68.1,68.1
-358.3,-115.5,-115.5,139.6,-171.4,-171.4
-144.2,-51.5,-51.5,52.1,-176.9,-176.9
20.3,0.7,0.7,-29.6,-14.2,-14.2
102.6,44.4,44.4,-72.3,-73.1,-73.1
